Mixture no.,W/CMa,Cement(kg/m3),"Water 
(KG/M3)","Fly ash  
kg/m3","Fine aggregate
 (kg/m3) ","Coarse aggregate
 (kg/m3)","Superplasticizer 
(kg/m3)",Silica Fume,Age in days,Comp strength (MPa) 
1,0.5,331,165,0,768,1153,0,0,1,19.4
1,0.5,331,165,0,768,1153,0,0,7,32.6
1,0.5,331,165,0,768,1153,0,0,28,40.1
1,0.5,331,165,0,768,1153,0,0,56,43
2,0.53,207,157,89,786,1178,0,0,1,11.5
2,0.53,207,157,89,786,1178,0,0,7,25
2,0.53,207,157,89,786,1178,0,0,28,42.5
2,0.53,207,157,89,786,1178,0,0,56,49
3,0.46,150,139,150,797,1195,0,0,1,5.9
3,0.46,150,139,150,797,1195,0,0,7,21.8
3,0.46,150,139,150,797,1195,0,0,28,41.8
3,0.46,150,139,150,797,1195,0,0,56,47
4,0.42,273,163,117,746,1118,0,0,1,18.5
4,0.42,273,163,117,746,1118,0,0,7,36.5
4,0.42,273,163,117,746,1118,0,0,28,56
4,0.42,273,163,117,746,1118,0,0,56,61
5,0.38,202,155,202,744,1114,0,0,1,12.3
5,0.38,202,155,202,744,1114,0,0,7,34.6
5,0.38,202,155,202,744,1114,0,0,28,55.7
5,0.38,202,155,202,744,1114,0,0,56,62
6,0.43,214,154,143,768,1152,0,0,1,10.5
6,0.43,214,154,143,768,1152,0,0,7,29.7
6,0.43,214,154,143,768,1152,0,0,28,52.7
6,0.43,214,154,143,768,1152,0,0,56,60
7,0.43,213,153,142,763,1146,0,0,1,10.4
7,0.43,213,153,142,763,1146,0,0,7,30.8
7,0.43,213,153,142,763,1146,0,0,28,53
7,0.43,213,153,142,763,1146,0,0,56,59
8,0.43,213,153,142,763,1146,0,0,1,11
8,0.43,213,153,142,763,1146,0,0,7,30.8
8,0.43,213,153,142,763,1146,0,0,28,53.4
8,0.43,213,153,142,763,1146,0,0,56,58
9,0.43,213,153,142,763,1146,0,0,1,10.8
9,0.43,213,153,142,763,1146,0,0,7,31.5
9,0.43,213,153,142,763,1146,0,0,28,50.6
9,0.43,213,153,142,763,1146,0,0,56,59
10,0.52,213,159,91,781,1172,0,0,1,7.2
10,0.52,213,159,91,781,1172,0,0,7,22.5
10,0.52,213,159,91,781,1172,0,0,28,35.9
10,0.52,213,159,91,781,1172,0,0,56,58
11,0.5,150,151,150,792,1187,0,0,1,3.4
11,0.5,150,151,150,792,1187,0,0,7,15.3
11,0.5,150,151,150,792,1187,0,0,28,28
12,0.44,274,174,117,742,1109,0,0,1,11.7
